name,rating,reviews,salary,interviews,jobs,benefits
Samvardhana Motherson Group,3.7,3700.0,11900.0,267.0,19.0,419.0
Reliance Digital,4.1,3700.0,8400.0,190.0,4.0,259.0
MRF Tyres,3.6,3700.0,13500.0,397.0,21.0,354.0
Reliance Projects & Property Management Services,4.0,3700.0,7700.0,220.0,,35.0
IGT Solutions,3.1,3700.0,14000.0,262.0,158.0,227.0
Indian Oil Corporation,4.3,3600.0,8000.0,251.0,,307.0
Alkem Laboratories,3.9,3600.0,10300.0,210.0,46.0,327.0
"NTT DATA, Inc.",3.9,3600.0,21000.0,162.0,123.0,263.0
Honda Motorcycle & Scooter,4.1,3600.0,11300.0,218.0,,348.0
Vishal Mega Mart,3.7,3600.0,6500.0,225.0,6.0,278.0
Johnson Controls,3.6,3600.0,18100.0,313.0,,275.0
[24]7.ai,3.4,3600.0,11700.0,206.0,68.0,423.0
Barclays,3.7,3600.0,35200.0,332.0,,275.0
TVS Credit Services Ltd,4.1,3600.0,7500.0,177.0,50.0,200.0
Hindustan Coca Cola Beverages,4.0,3600.0,8100.0,197.0,73.0,387.0
DTDC Express,3.7,3600.0,9000.0,210.0,44.0,270.0
Bajaj General Insurance Limited,3.6,3600.0,11100.0,149.0,306.0,246.0
RSPL Group,4.0,3500.0,10000.0,276.0,51.0,304.0
ABB,4.0,3500.0,19400.0,313.0,541.0,374.0
IndusInd Nippon Life Insurance,3.3,3500.0,8100.0,175.0,16.0,221.0
AGS Health,3.9,3500.0,15500.0,226.0,67.0,301.0
UBS,3.8,3500.0,32400.0,383.0,,131.0
Sagility,3.9,3500.0,14200.0,315.0,73.0,137.0
Ceat Tyres,3.9,3500.0,13200.0,218.0,50.0,354.0
NatWest Group,3.9,3500.0,22300.0,245.0,7.0,380.0
Ford Motor,4.2,3500.0,15800.0,181.0,2.0,405.0
Croma,3.8,3400.0,9900.0,199.0,49.0,206.0
Alstom Transportation,3.7,3400.0,16200.0,294.0,141.0,197.0
Niva Bupa Health Insurance Company,4.0,3400.0,9100.0,391.0,233.0,141.0
HARMAN,3.8,3400.0,24200.0,303.0,138.0,111.0
Conduent,3.4,3400.0,17500.0,251.0,626.0,380.0
InterGlobe Aviation,3.4,3400.0,14300.0,388.0,31.0,323.0
Tata Technologies,3.4,3400.0,23800.0,320.0,318.0,323.0
Tata Electronics,3.8,3400.0,14300.0,307.0,6.0,126.0
Tata AIG,3.9,3400.0,12100.0,203.0,61.0,244.0
Tata AutoComp Systems,3.6,3400.0,11900.0,228.0,114.0,194.0
Jindal Stainless,4.1,3400.0,12300.0,347.0,212.0,214.0
Indian Air Force,4.6,3400.0,5400.0,90.0,2.0,357.0
GeBBS Healthcare Solutions,3.8,3400.0,11600.0,192.0,61.0,303.0
Canara HSBC Life Insurance,4.1,3300.0,6400.0,580.0,6.0,180.0
PepsiCo,4.0,3300.0,14800.0,260.0,252.0,267.0
UPL,4.1,3300.0,11300.0,232.0,68.0,302.0
Max Healthcare,4.0,3300.0,10900.0,209.0,148.0,303.0
Mankind Pharma,3.8,3300.0,10000.0,273.0,13.0,264.0
Titan Company,4.2,3300.0,10100.0,223.0,123.0,351.0
Amazon Transportation Services,4.2,3300.0,9000.0,265.0,,256.0
